0.1967+0.1967i
-1.1327+0.020009i
-0.11522-0.67157i
1.2209-0.1082i
0.7868
1.2209-0.1082i
-0.11522-0.67157i
-1.1327+0.020009i
0.3934+0.3934i
0.020009-1.1327i
-0.67157-0.11522i
-0.1082+1.2209i
0+0.7868i
-0.1082+1.2209i
-0.67157-0.11522i
0.020009-1.1327i
0.3934+0.3934i
-1.1327+0.020009i
-0.11522-0.67157i
1.2209-0.1082i
0.7868
1.2209-0.1082i
-0.11522-0.67157i
-1.1327+0.020009i
0.3934+0.3934i
0.020009-1.1327i
-0.67157-0.11522i
-0.1082+1.2209i
0+0.7868i
-0.1082+1.2209i
-0.67157-0.11522i
0.020009-1.1327i
0.3934+0.3934i
-1.1327+0.020009i
-0.11522-0.67157i
1.2209-0.1082i
0.7868
1.2209-0.1082i
-0.11522-0.67157i
-1.1327+0.020009i
0.3934+0.3934i
0.020009-1.1327i
-0.67157-0.11522i
-0.1082+1.2209i
0+0.7868i
-0.1082+1.2209i
-0.67157-0.11522i
0.020009-1.1327i
0.3934+0.3934i
-1.1327+0.020009i
-0.11522-0.67157i
1.2209-0.1082i
0.7868
1.2209-0.1082i
-0.11522-0.67157i
-1.1327+0.020009i
0.3934+0.3934i
0.020009-1.1327i
-0.67157-0.11522i
-0.1082+1.2209i
0+0.7868i
-0.1082+1.2209i
-0.67157-0.11522i
0.020009-1.1327i
0.3934+0.3934i
-1.1327+0.020009i
-0.11522-0.67157i
1.2209-0.1082i
0.7868
1.2209-0.1082i
-0.11522-0.67157i
-1.1327+0.020009i
0.3934+0.3934i
0.020009-1.1327i
-0.67157-0.11522i
-0.1082+1.2209i
0+0.7868i
-0.1082+1.2209i
-0.67157-0.11522i
0.020009-1.1327i
0.3934+0.3934i
-1.1327+0.020009i
-0.11522-0.67157i
1.2209-0.1082i
0.7868
1.2209-0.1082i
-0.11522-0.67157i
-1.1327+0.020009i
0.3934+0.3934i
0.020009-1.1327i
-0.67157-0.11522i
-0.1082+1.2209i
0+0.7868i
-0.1082+1.2209i
-0.67157-0.11522i
0.020009-1.1327i
0.3934+0.3934i
-1.1327+0.020009i
-0.11522-0.67157i
1.2209-0.1082i
0.7868
1.2209-0.1082i
-0.11522-0.67157i
-1.1327+0.020009i
0.3934+0.3934i
